+------------+----------+-------------------------------------------------------------------------------------------------+-------------------+
| ChapterNum | VerseNum |                                              Text                                               |       Metre       |
| 1          | 10       | anuccāryam{ }asandigdham{ }avicchinnam{ }anākulam|                                              | anuṣṭubh          |
| 1          | 10       | nirmalaṃ sarvagaṃ sūkṣmam{ }akṣaraṃ kim{ }ataḥ param||                                          | anuṣṭubh          |
| 1          | 11       | vigatarāga uvāca|*                                                                              | speakerindication |
| 1          | 11       | dehī dehe kṣayaṃ yāte bhūjalāgniśivādibhiḥ|                                                     | anuṣṭubh          |
| 1          | 11       | yamadūtaiḥ kathaṃ nīto nirālambo nirañjanaḥ||                                                   | anuṣṭubh          |
| 1          | 12       | kālapāśaiḥ kathaṃ baddho nirdehaś{ }ca kathaṃ vrajet|                                           | anuṣṭubh          |
| 1          | 12       | svargaṃ vā sa kathaṃ yāti nirdeho bahudharmakṛt|                                                | anuṣṭubh          |
| 1          | 12       | etan{ }me saṃśayaṃ brūhi jñātum{ }icchāmi tattvataḥ||                                           | anuṣṭubh          |
| 1          | 13       | anarthayajña uvāca|*                                                                            | speakerindication |
| 1          | 13       | atisaṃśayakaṣṭaṃ te pṛṣṭo 'haṃ dvijasattama|                                                    | anuṣṭubh          |
| 1          | 13       | durvijñeyaṃ manuṣyais{ }tu devadānavapannagaiḥ||                                                | anuṣṭubh          |
| 1          | 14       | karmahetuḥ śarīrasya utpattir{ }nidhanaṃ ca yat|                                                | anuṣṭubh          |
| 1          | 14       | sukṛtaṃ duṣkṛtaṃ caiva pāśadvayam{ }udāhṛtam||                                                  | anuṣṭubh          |
| 1          | 15       | tenaiva saha saṃyāti narakaṃ svargam{ }eva vā|                                                  | anuṣṭubh          |
| 1          | 15       | sukhaduḥkhaṃ śarīreṇa bhoktavyaṃ karmasambhavam||                                               | anuṣṭubh          |
| 1          | 16       | hetunānena viprendra dehaḥ sambhavate nṛṇām|                                                    | anuṣṭubh          |
| 1          | 16       | yaṃ kālapāśam{ }ity{ }āhuḥ śṛṇu vakṣyāmi suvrata||                                              | anuṣṭubh          |
| 1          | 17       | na tvayā viditaṃ kiñcij{ }jijñāsyasi kathaṃ dvija|                                              | anuṣṭubh          |
| 1          | 17       | kālapāśaṃ ca viprendra sakalaṃ vettum{ }arhasi||                                                | anuṣṭubh          |
| 1          | 18       | kalākalitakālaṃ ca kālatattvakalāṃ śṛṇu|                                                        | anuṣṭubh          |
| 1          | 18       | truṭidvayaṃ nimeṣas{ }tu nimeṣadviguṇā kalā||                                                   | anuṣṭubh          |
| 1          | 19       | kalādviguṇitā kāṣṭhā kāṣṭhā vai triṃśatiḥ kalā|                                                 | anuṣṭubh          |
| 1          | 19       | triṃśatkalā muhūrtaś{ }ca mānuṣena dvijottama||                                                 | anuṣṭubh          |
| 1          | 20       | muhūrtatriṃśakenaiva ahorātraṃ vidur{ }budhāḥ|                                                  | anuṣṭubh          |
| 1          | 20       | ahorātraṃ punas{ }triṃśan{ }māsam{ }āhur{ }manīṣiṇaḥ||                                          | anuṣṭubh          |
| 1          | 21       | samā dvādaśa māsāś{ }ca kālatattvavido janāḥ|                                                   | anuṣṭubh          |
| 1          | 21       | śataṃ varṣasahasrāṇi trīṇi mānuṣasaṃkhyayā||                                                    | anuṣṭubh          |
| 1          | 22       | ṣaṣṭiṃ caiva sahasrāṇi kālaḥ kaliyugaḥ smṛtaḥ|                                                  | anuṣṭubh          |
| 1          | 22       | dviguṇaḥ kalisaṃkhyāto dvāparo yuga saṃjñitaḥ||                                                 | anuṣṭubh          |
| 1          | 23       | tretā tu triguṇā jñeyā catuḥ kṛtayugaḥ smṛtaḥ|                                                  | anuṣṭubh          |
| 1          | 23       | eṣā caturyugā saṃkhyā kṛtvā vai hy{ }ekasaptatiḥ||                                              | anuṣṭubh          |
| 1          | 24       | manvantarasya caikasya jñānam{ }uktaṃ samāsataḥ|                                                | anuṣṭubh          |
| 1          | 24       | kalpo manvantarāṇāṃ tu caturdaśa tu saṃkhyayā||                                                 | anuṣṭubh          |
| 1          | 25       | daśa kalpasahasrāṇi brahmāhaḥ parikalpitam|                                                     | anuṣṭubh          |
| 1          | 25       | rātrir{ }etāvatī proktā munibhis{ }tattvadarśibhiḥ||                                            | anuṣṭubh          |
| 1          | 26       | rātryāgame pralīyante jagat{ }sarvaṃ carācaram|                                                 | anuṣṭubh          |
| 1          | 26       | ahāgame tathaiveha utpadyante carācaram||                                                       | anuṣṭubh          |
| 1          | 27       | parārdhaparakalpāni atītāni dvijottama|                                                         | anuṣṭubh          |
| 1          | 27       | anāgataṃ tathaivāhur{ }bhṛgurādimaharṣayaḥ||                                                    | anuṣṭubh          |
| 1          | 28       | yathārkagrahatārendu bhramato dṛśyate tv{ }iha|                                                 | anuṣṭubh          |
| 1          | 28       | kālacakraṃ bhramitvaiva viśramaṃ na ca vidmahe||                                                | anuṣṭubh          |
| 1          | 29       | kālaḥ sṛjati bhūtāni kālaḥ saṃharate punaḥ|                                                     | anuṣṭubh          |
| 1          | 29       | kālasya vaśagāḥ sarve na kālavaśakṛt{ }kvacit||                                                 | anuṣṭubh          |
| 1          | 30       | caturdaśaparārdhāni devarājā dvijottama|                                                        | anuṣṭubh          |
| 1          | 30       | kālena samatītāni kālo hi duratikramaḥ||                                                        | anuṣṭubh          |
| 1          | 31       | eṣa kālo mahāyogī brahmā viṣṇuḥ paraḥ śivaḥ|                                                    | anuṣṭubh          |
| 1          | 31       | anādinidhano dhātā sa mahātmā namaskuru||                                                       | anuṣṭubh          |
| 1          | 32       | vigatarāga uvāca|*                                                                              | speakerindication |
| 1          | 32       | śrutaṃ vai kālacakraṃ tu mukhapadmaviniḥsṛtam|                                                  | anuṣṭubh          |
| 1          | 32       | parārdhaṃ ca paraṃ caiva śrotuṃ vaḥ prati dīpitaḥ||                                             | anuṣṭubh          |
| 1          | 33       | anarthayajña uvāca|*                                                                            | speakerindication |
| 1          | 33       | ekaṃ daśaṃ śataṃ caiva sahasram{ }ayutaṃ tathā|                                                 | anuṣṭubh          |
| 1          | 33       | prayutaṃ niyutaṃ koṭim{ }arbudaṃ vṛndam{ }eva ca||                                              | anuṣṭubh          |
| 1          | 34       | kharvaṃ caiva nikharvaṃ ca śaṅkuḥ padmaṃ tathaiva ca|                                           | anuṣṭubh          |
| 1          | 34       | samudro madhyam{ }antaṃ ca parārdhaṃ ca paraṃ tathā||                                           | anuṣṭubh          |
| 1          | 35       | sarve daśaguṇā jñeyāḥ parārdhaṃ yāvad{ }eva hi|                                                 | anuṣṭubh          |
| 1          | 35       | parārdhadviguṇenaiva parasaṃkhyā vidhīyate||                                                    | anuṣṭubh          |
| 1          | 36       | parāt{ }parataraṃ nāsti iti me niścitā matiḥ|                                                   | anuṣṭubh          |
| 1          | 36       | purāṇavedapaṭhitā mayākhyātā dvijottama||                                                       | anuṣṭubh          |
| 1          | 37       | vigatarāga uvāca|*                                                                              | speakerindication |
| 1          | 37       | brahmāṇḍaṃ kati vijñeyaṃ pramāṇaṃ jñāpitaṃ kvacit|                                              | anuṣṭubh          |
| 1          | 37       | kati cāṅguli{-}m{-}ūrdhveṣu sūryas{ }tapati vai mahīm||                                         | anuṣṭubh          |
| 1          | 38       | anarthayajña uvāca|*                                                                            | speakerindication |
| 1          | 38       | brahmāṇḍānāṃ prasaṃkhyātuṃ mayā śakyaṃ kathaṃ dvija|                                            | anuṣṭubh          |
| 1          | 38       | devās{ }te 'pi na jānanti mānuṣāṇāṃ ca kā kathā||                                               | anuṣṭubh          |
| 1          | 39       | paryāyeṇa tu vakṣyāmi yathāśakyaṃ dvijottama|                                                   | anuṣṭubh          |
| 1          | 39       | brahmaṇā yat{ }purākhyāto mātariśvā yathā tathā||                                               | anuṣṭubh          |
| 1          | 40       | śivāṇḍābhyantareṇaiva sarveṣām{ }iva bhūbhṛtām|                                                 | anuṣṭubh          |
| 1          | 40       | daśa nāma diśāṣṭānāṃ brahmāṇḍe kīrtitaṃ śṛṇu||                                                  | anuṣṭubh          |
| 1          | 41       | sahāsahaḥ sahaḥ sahyo visahaḥ saṃhato 'sabhā|                                                   | anuṣṭubh          |
| 1          | 41       | prasaho 'prasahaḥ sānuḥ pūrvato daśa nāyakāḥ||                                                  | anuṣṭubh          |
| 1          | 42       | prabhāso bhāsano bhānuḥ pradyoto dyutimo dyutiḥ|                                                | anuṣṭubh          |
| 1          | 42       | dīptatejāś{ }ca tejāś{ }ca tejā tejavaho daśa|                                                  | anuṣṭubh          |
| 1          | 42       | āgneye tv{ }etad{ }ākhyātaṃ yāmye śṛṇv{ }atha bho dvija||                                       | anuṣṭubh          |
| 1          | 43       | yamo 'tha yamunā yāmaḥ saṃyamo yamuno 'yamaḥ|                                                   | anuṣṭubh          |
| 1          | 43       | saṃyano yamanoyāno yaniyugmā yanoyanaḥ||                                                        | anuṣṭubh          |
| 1          | 44       | nagajo naganā nando nagaro naga nandanaḥ|                                                       | anuṣṭubh          |
| 1          | 44       | nagarbho gahano guhyo gūḍhajo daśa tatparaḥ||                                                   | anuṣṭubh          |
| 1          | 45       | vāruṇena pravakṣyāmi śṛṇu vipra nibodha me|                                                     | anuṣṭubh          |
| 1          | 45       | babhraḥ setur{ }bhavodbhadraḥ prabhavodbhavabhājanaḥ|                                           | anuṣṭubh          |
| 1          | 45       | bharaṇo bhuvano bhartā daśaite varuṇālayāḥ||                                                    | anuṣṭubh          |
| 1          | 46       | nṛgarbho 'suragarbhaś{ }ca devagarbho mahīdharaḥ|                                               | anuṣṭubh          |
| 1          | 46       | vṛṣabho vṛṣagarbhaś{ }ca vṛṣāṅko vṛṣabhadhvajaḥ||                                               | anuṣṭubh          |
| 1          | 47       | jñātavyaś{ }ca tathā samyag vṛṣajo vṛṣanandanaḥ|                                                | anuṣṭubh          |
| 1          | 47       | nāyakā daśa vāyavye kīrtitā ye mayā dvija||                                                     | anuṣṭubh          |
| 1          | 48       | sulabhaḥ sumanaḥ saumyaḥ suprajaḥ sutanuḥ śivaḥ|                                                | anuṣṭubh          |
| 1          | 48       | sataḥ satya layaḥ śambhur{ }daśa nāyakam{ }uttare||                                             | anuṣṭubh          |
| 1          | 49       | indu bindu bhuvo vajra varado vara varṣaṇaḥ|                                                    | anuṣṭubh          |
| 1          | 49       | ilano valino brahmā daśeśāneṣu nāyakāḥ||                                                        | anuṣṭubh          |
| 1          | 50       | aparo vimalo moho nirmalo mana mohanaḥ|                                                         | anuṣṭubh          |
| 1          | 50       | akṣayaś{ }cāvyayo viṣṇur{ }varado madhyame daśa||                                               | anuṣṭubh          |
| 1          | 51       | sarveṣāṃ daśa{-}m{-}īśānāṃ parivāraśataṃ śatam|                                                 | anuṣṭubh          |
| 1          | 51       | śatānāṃ pṛthag{ }ekaikaṃ sahasraiḥ parivāritam||                                                | anuṣṭubh          |
| 1          | 52       | sahasreṣu ca ekaikam{ }ayutaiḥ parivāritam|                                                     | anuṣṭubh          |
| 1          | 52       | ayutaṃ prayutair{ }vṛndaiḥ prayutaṃ niyutair{ }vṛtam||                                          | anuṣṭubh          |
| 1          | 53       | ekaikasya parīvāro niyutaḥ pṛthag{ }eva ca|                                                     | anuṣṭubh          |
| 1          | 53       | koṭibhir{ }daśakoṭyena ekaikaḥ parivāritaḥ||                                                    | anuṣṭubh          |
| 1          | 54       | daśakoṭiṣu ekaikaṃ vṛndavṛndabhṛtair{ }vṛtam|                                                   | anuṣṭubh          |
| 1          | 54       | vṛndavargeṣu ekaikaṃ kharvabhiḥ parivāritam||                                                   | anuṣṭubh          |
| 1          | 55       | kharvavargeṣu ekaikaṃ daśakharvagaṇair{ }vṛtam|                                                 | anuṣṭubh          |
| 1          | 55       | daśakharveṣu ekaikaṃ śaṅkubhiḥ parivāritam||                                                    | anuṣṭubh          |
| 1          | 56       | śaṅkubhiḥ pṛthag{ }ekaikaṃ padmena parivāritam|                                                 | anuṣṭubh          |
| 1          | 56       | padmavargeṣu ekaikaṃ samudraiḥ parivāritam||                                                    | anuṣṭubh          |
| 1          | 57       | samudreṣu tathaikaikaṃ madhyasaṃkhyais{ }tu tair{ }vṛtam|                                       | anuṣṭubh          |
| 1          | 57       | madhyasaṃkhyeṣu ekaikam{ }anantaiḥ parivāritam||                                                | anuṣṭubh          |
| 1          | 58       | ananteṣu ca ekaikaṃ parārdhaparivāritam|                                                        | anuṣṭubh          |
| 1          | 58       | parārdheṣu ca ekaikaṃ pareṇa parivāritam|                                                       | anuṣṭubh          |
| 1          | 58       | eṣa vai kathito vipra śakyaṃ sāṃkhyam{ }udīritam||                                              | anuṣṭubh          |
| 1          | 59       | pramāṇaṃ śṛṇu me vipra saṃkṣepād{ }bruvato mama|                                                | anuṣṭubh          |
| 1          | 59       | candrodaye pūrṇamāsyāṃ vapur{ }aṇḍasya tādṛśam||                                                | anuṣṭubh          |
| 1          | 60       | koṭikoṭisahasraṃ tu yojanānāṃ samantataḥ|                                                       | anuṣṭubh          |
| 1          | 60       | aṇḍānāṃ ca parīmāṇaṃ brahmaṇā parikīrtitam||                                                    | anuṣṭubh          |
| 1          | 61       | saptakoṭisahasrāṇi saptakoṭiśatāni ca|                                                          | anuṣṭubh          |
| 1          | 61       | viṃśakoṭiṣv{ }aṅgulīṣu ūrdhvatas{ }tapate raviḥ||                                               | anuṣṭubh          |
| 1          | 62       | pramāṇaṃ nāma saṃkhyā ca kīrtitāni samāsataḥ|                                                   | anuṣṭubh          |
| 1          | 62       | brahmāṇḍaṃ cāprameyāṇāṃ lakṣaṇaṃ parikīrtitam||                                                 | anuṣṭubh          |
| 1          | 63       | purāṇāśīsahasrāṇi śatāni dvijasattama|                                                          | anuṣṭubh          |
| 1          | 63       | brahmaṇā kathitaṃ pūrṇaṃ mātariśvā yathātatham||                                                | anuṣṭubh          |
| 1          | 64       | vāyunā pāda saṃkṣipya prāptaṃ cośanasaṃ purā|                                                   | anuṣṭubh          |
| 1          | 64       | tenāpi pāda saṃkṣipya prāptavāṃś{ }ca bṛhaspatiḥ||                                              | anuṣṭubh          |
| 1          | 65       | bṛhaspatis{ }tu provāca sūryaṃ triṃśatsahasrikam|                                               | anuṣṭubh          |
| 1          | 65       | pañcaviṃśatsahasrāṇi mṛtyuṃ prāha divākaraḥ||                                                   | anuṣṭubh          |
| 1          | 66       | ekaviṃśatsahasrāṇi mṛtyunendrāya kīrtitam|                                                      | anuṣṭubh          |
| 1          | 66       | indreṇāha vasiṣṭhāya viṃśatślokasahasrikam||                                                    | anuṣṭubh          |
| 1          | 67       | aṣṭādaśasahasrāṇi tena sārasvatāya tu|                                                          | anuṣṭubh          |
| 1          | 67       | sārasvatas{ }tridhāmāya sahasradaśa sapta ca||                                                  | anuṣṭubh          |
| 1          | 68       | ṣoḍaśānāṃ sahasrāṇi bharadvājāya vai tataḥ|                                                     | anuṣṭubh          |
| 1          | 68       | daśa pañcasahasrāṇi trivṛṣāya abhāṣata||                                                        | anuṣṭubh          |
| 1          | 69       | caturdaśasahasrāṇi antarīkṣāya vai tataḥ|                                                       | anuṣṭubh          |
| 1          | 69       | trayyāruṇiṃ sahasrāṇi trayodaśa abhāṣata||                                                      | anuṣṭubh          |
| 1          | 70       | trayyāruṇis{ }tu viprendro dhanaṃjayam{ }abhāṣata|                                              | anuṣṭubh          |
| 1          | 70       | dvādaśāni sahasrāṇi saṃkṣipya punar{ }abravīt||                                                 | anuṣṭubh          |
| 1          | 71       | kṛtaṃjayāya samprāpto dhanaṃjayamahāmuniḥ|                                                      | anuṣṭubh          |
| 1          | 71       | kṛtaṃjayād{ }dvijaśreṣṭha ṛṇaṃjayamahātmane||                                                   | anuṣṭubh          |
| 1          | 72       | ṛṇañjayāt{ }punaḥ prāpto gautamāya maharṣiṇe|                                                   | anuṣṭubh          |
| 1          | 72       | gautamāc{ }ca bharadvājas{ }tasmād{ }dharyātmanāya tu||                                         | anuṣṭubh          |
| 1          | 73       | rājaśravās{ }tataḥ prāptaḥ somaśuṣmāya vai tataḥ|                                               | anuṣṭubh          |
| 1          | 73       | somaśuṣmāt{ }tataḥ prāptas{ }tṛṇabindus{ }tu bho dvija||                                        | anuṣṭubh          |
| 1          | 74       | tṛṇabindus{ }tu vṛkṣāya vṛkṣaḥ śaktim{ }abhāṣata|                                               | anuṣṭubh          |
| 1          | 74       | śaktiḥ parāśaraṃ prāha jatukarṇāya vai tataḥ||                                                  | anuṣṭubh          |
| 1          | 75       | dvaipāyanaṃ tu provāca jatukarṇo maharṣiṇam|                                                    | anuṣṭubh          |
| 1          | 75       | romaharṣāya samprāpto dvaipāyanamahāmuniḥ||                                                     | anuṣṭubh          |
| 1          | 76       | romaharṣeṇa provāca putrāyāmitabuddhaye|                                                        | anuṣṭubh          |
| 1          | 76       | daśa dve ca sahasrāṇi purāṇaṃ samprakāśitam|                                                    | anuṣṭubh          |
| 1          | 76       | mānuṣāṇāṃ hitārthāya kiṃ bhūyaḥ śrotum{ }icchasi||                                              | anuṣṭubh          |
| 1          | 0        | <COLOPHON>iti vṛṣasārasaṃgrahe brahmāṇḍasaṃkhyā nāmādhyāyaḥ prathamaḥ</COLOPHON>                | colophon          |
| 2          | 1        | vigatarāga uvāca|*                                                                              | speakerindication |
| 2          | 1        | śrutaṃ mayā janāgreṇa brahmāṇḍasya tu nirṇayam|                                                 | anuṣṭubh          |
| 2          | 1        | pramāṇaṃ varṇarūpaṃ ca saṃkhyā tasya samāsataḥ||                                                | anuṣṭubh          |
| 2          | 2        | śivāṇḍeti tvayā prokto brahmāṇḍālayakīrtitaḥ|                                                   | anuṣṭubh          |
| 2          | 2        | kīdṛśaṃ lakṣaṇaṃ jñeyaṃ pramāṇaṃ tasya vā kati||                                                | anuṣṭubh          |
| 2          | 3        | kasya vā layanaṃ jñeyaṃ pramāṇaṃ vātra vāsinaḥ|                                                 | anuṣṭubh          |
| 2          | 3        | kā vā tatra prajā jñeyā ko vā tatra prajāpatiḥ||                                                | anuṣṭubh          |
| 2          | 4        | anarthayajña uvāca|*                                                                            | speakerindication |
| 2          | 4        | śivāṇḍalakṣaṇaṃ vipra na tvaṃ praṣṭum{ }ihārhasi|                                               | anuṣṭubh          |
| 2          | 4        | daivatair{ }api kā śaktir{ }jñātuṃ draṣṭuṃ ca tattvataḥ||                                       | anuṣṭubh          |
| 2          | 5        | agamyagamanaṃ guhyaṃ guhyād{ }api samuddhṛtam|                                                  | anuṣṭubh          |
| 2          | 5        | na prabhur{ }netaras{ }tatra na daṇḍyo na ca daṇḍakaḥ||                                         | anuṣṭubh          |
| 2          | 6        | na satyo nānṛtas{ }tatra suśīlo no duḥśīlavān|                                                  | anuṣṭubh          |
| 2          | 6        | nānṛjur{ }na ca dambhitvaṃ na tṛṣṇā na ca īrṣyatā||                                             | anuṣṭubh          |
| 2          | 7        | na krodho na ca lobho 'sti na māno 'sti na sūyakaḥ|                                             | anuṣṭubh          |
| 2          | 7        | īrṣyā dveṣo na tatrāsti na śaṭho na ca matsaraḥ||                                               | anuṣṭubh          |
| 2          | 8        | na vyādhir{ }na jarā tatra na śoko 'sti na viklavaḥ|                                            | anuṣṭubh          |
| 2          | 8        | nādhamaḥ puruṣas{ }tatra nottamo na ca madhyamaḥ||                                              | anuṣṭubh          |
| 2          | 9        | notkṛṣṭo mānavas{ }tasmin{ }striyaś{ }caiva śivālaye|                                           | anuṣṭubh          |
| 2          | 9        | na nindā na praśaṃsāsti matsarī piśuno na ca||                                                  | anuṣṭubh          |
| 2          | 10       | garvadarpaṃ na tatrāsti krūramāyādikaṃ tathā|                                                   | anuṣṭubh          |
| 2          | 10       | yācamāno na tatrāsti dātā caiva na vidyate||                                                    | anuṣṭubh          |
| 2          | 11       | anarthī vraja tatrasthaḥ kalpavṛkṣasamāśritaḥ|                                                  | anuṣṭubh          |
| 2          | 11       | na karma nāpriyas{ }tatra na kaliḥ kalaho na ca||                                               | anuṣṭubh          |
| 2          | 12       | dvāparo na ca na tretā kṛtaṃ cāpi na vidyate|                                                   | anuṣṭubh          |
| 2          | 12       | manvantaraṃ na tatrāsti kalpaś{ }caiva na vidyate||                                             | anuṣṭubh          |
| 2          | 13       | āhūtasamplavaṃ nāsti brahmarātridinaṃ tathā|                                                    | anuṣṭubh          |
| 2          | 13       | na janmamaraṇaṃ tatra āpadaṃ nāpnuyāt{ }kvacit||                                                | anuṣṭubh          |
| 2          | 14       | na cāśāpāśabaddho 'sti rāgamohaṃ na vidyate|                                                    | anuṣṭubh          |
| 2          | 14       | na devā nāsurās{ }tatra na yakṣoragarākṣasāḥ||                                                  | anuṣṭubh          |
| 2          | 15       | na bhūtā na piśācāś{ }ca gandharvā ṛṣayas{ }tathā|                                              | anuṣṭubh          |
| 2          | 15       | tārāgrahaṃ na tatrāsti nāgakiṃnaragāruḍam||                                                     | anuṣṭubh          |
| 2          | 16       | na japo nāhnikas{ }tatra nāgnihotrī na yajñakṛt|                                                | anuṣṭubh          |
| 2          | 16       | na vrataṃ na tapaś{ }caiva na tiryannarakaṃ tathā||                                             | anuṣṭubh          |
| 2          | 17       | tasyeśānasya devasya aiśvaryaguṇavistaram|                                                      | anuṣṭubh          |
| 2          | 17       | api varṣaśatenāpi śakyaṃ vaktuṃ na kenacit||                                                    | anuṣṭubh          |
| 2          | 18       | harecchāprabhavāḥ sarve paryāyeṇa bravīmi te|                                                   | anuṣṭubh          |
| 2          | 18       | devamānuṣavarjyāni vṛkṣagulmalatādayaḥ||                                                        | anuṣṭubh          |
| 2          | 19       | parārdhadviguṇotsedho vistāraś{ }ca tathāvidhaḥ|                                                | anuṣṭubh          |
| 2          | 19       | anekākārapuṣpāṇi phalāni ca manoharam||                                                         | anuṣṭubh          |
| 2          | 20       | anye kāñcanavṛkṣāṇi maṇivṛkṣāṇy{ }athāpare|                                                     | anuṣṭubh          |
| 2          | 20       | pravālamaṇiṣaṇḍāś{ }ca padmarāgaruhāṇi ca||                                                     | anuṣṭubh          |
| 2          | 21       | svādumūlaphalāḥ skandhalatāviṭapapādapāḥ|                                                       | anuṣṭubh          |
| 2          | 21       | kāmarūpāś{ }ca te sarve kāmadāḥ kāmabhāṣiṇaḥ||                                                  | anuṣṭubh          |
| 2          | 22       | tatra vipra prajāḥ sarve anantaguṇasāgarāḥ|                                                     | anuṣṭubh          |
| 2          | 22       | tulyarūpabalāḥ sarve sūryāyutasamaprabhāḥ||                                                     | anuṣṭubh          |
| 2          | 23       | parārdhadvayavistāraṃ parārdhadvayam{ }āyatam|                                                  | anuṣṭubh          |
| 2          | 23       | parārdhadvayavikṣepaṃ yojanānāṃ dvijottama||                                                    | anuṣṭubh          |
| 2          | 24       | aiśvaryatvaṃ na saṃkhyāsti balaśaktiś{ }ca bho dvija|                                           | anuṣṭubh          |
| 2          | 24       | adhordhvo na ca saṃkhyāsti na tiryañ{ }caiti kaścana||                                          | anuṣṭubh          |
| 2          | 25       | śivāṇḍasya ca vistāram{ }āyāmaṃ ca na vedmy{ }aham|                                             | anuṣṭubh          |
| 2          | 25       | bhogam{ }akṣaya tatraiva janmamṛtyur{ }na vidyate||                                             | anuṣṭubh          |
| 2          | 26       | śivāṇḍamadhyam{ }āśritya gokṣīrasadṛśaprabhāḥ|                                                  | anuṣṭubh          |
| 2          | 26       | parārdhaparakoṭīnām{ }īśānānāṃ smṛtālayaḥ||                                                     | anuṣṭubh          |
| 2          | 27       | bālasūryaprabhāḥ sarve jñeyās{ }tatpuruṣālaye|                                                  | anuṣṭubh          |
| 2          | 27       | parārdhaparakoṭīnāṃ pūrvasyāṃ diśam{ }āśritāḥ||                                                 | anuṣṭubh          |
| 2          | 28       | bhinnāñjanaprabhāḥ sarve dakṣiṇāṃ diśam{ }āśritāḥ|                                              | anuṣṭubh          |
| 2          | 28       | parārdhaparakoṭīnām{ }aghorālayam{ }āśritāḥ||                                                   | anuṣṭubh          |
| 2          | 29       | kundenduhimaśailābhāḥ paścimāṃ diśam{ }āśritāḥ|                                                 | anuṣṭubh          |
| 2          | 29       | parārdhaparakoṭīnāṃ sadya{-}m{-}iṣṭālayaḥ smṛtaḥ||                                              | anuṣṭubh          |
| 2          | 30       | kuṅkumodakasaṃkāśā uttarāṃ diśam{ }āśritāḥ|                                                     | anuṣṭubh          |
| 2          | 30       | parārdhaparakotīnāṃ vāmadevālayaḥ smṛtaḥ||                                                      | anuṣṭubh          |
| 2          | 31       | īśānasya kalāḥ pañca vaktrasyāpi catuṣkalāḥ|                                                    | anuṣṭubh          |
| 2          | 31       | aghorasya kalā aṣṭau vāmadevās{ }trayodaśa||                                                    | anuṣṭubh          |
| 2          | 32       | sadyaś{ }cāṣṭau kalā jñeyāḥ saṃsārārṇavatārakāḥ|                                                | anuṣṭubh          |
| 2          | 32       | aṣṭatriṃśat{ }kalā hy{ }etāḥ kīrtitā dvijasattama||                                             | anuṣṭubh          |
| 2          | 33       | saṃkhyā varṇā diśaś{ }caiva ekaikasya pṛthak{ }pṛthak|                                          | anuṣṭubh          |
| 2          | 33       | pūrvoktena vidhānena bodhavyās{ }tattvacintakaiḥ||                                              | anuṣṭubh          |
| 2          | 34       | śivāṇḍagamanākṛṣṭyā śivayogaṃ sadābhyaset|                                                      | anuṣṭubh          |
